,daft_id,date_entered,views,type,rent,num_bedroom,num_bathroom,available_from,furnished,lease,ber_rating,address,distance_from_city_centre,latitude,longitude,region,url,input_date,property_id
768,216434815,2023-07-06,6504,Apartment,1758.0,1,1, Immediately, No, No Minimum,,"Fitzwilliam Quay, Fitzwilliam Square, Dublin 4",2.668429,53.3406138,-6.2280093,Dublin 4,https://www.daft.ie/for-rent/apartment-fitzwilliam-quay-fitzwilliam-square-dublin-4/5282434,2023-07-06,7a41db3c0b5e6636bff9a967efe0d13c4dfb171a40c8e4d5e21084953a48fb9b
769,216823299,2023-07-06,2352,House,2336.0,4,1, Immediately, No, No Minimum,,"Stralem Terrace, Ongar Village, Dublin 15",12.18732313,53.3932012,-6.4320137,Dublin 15,https://www.daft.ie/for-rent/house-stralem-terrace-ongar-village-dublin-15/5323064,2023-07-06,9157de8a5cfe1b9cd435a63952bb68f109dfe35a1f5827d9a0693e7fe79918ca
770,216614997,2023-07-06,2395,Apartment,2200.0,2,2, Immediately, No, No Minimum,C1,"Clearstream Court, Finglas, Dublin 11",5.675627389,53.3926055,-6.2996635,Dublin 11,https://www.daft.ie/for-rent/apartment-clearstream-court-finglas-dublin-11/5302131,2023-07-06,cfca94285f067c70ab34a6b112b97618c1b7a4e541d4fb37d1428221d0c0fc24
771,216525358,2023-07-06,2577,Apartment,2077.0,2,1, Immediately, No, No Minimum,,"Bellevue, Tallaght, Dublin 24",10.24866072,53.2884663,-6.3880765,Dublin 24,https://www.daft.ie/for-rent/apartment-bellevue-tallaght-dublin-24/5291844,2023-07-06,4b3d1db5a6a570598246028404374e4d5eda71f484576dcac547345daaac1b1a
772,216711524,2023-07-06,2499,Apartment,1900.0,2,2, Immediately, No, No Minimum,,"Millpark, Clondalkin, Dublin 22",9.191602543,53.3234837,-6.4002681,Dublin 22,https://www.daft.ie/for-rent/apartment-millpark-clondalkin-dublin-22/5311779,2023-07-06,69ea92e3491d7299986cca9ad582cb01a1442a426700515fd428b5d591f5066d
773,216794610,2023-07-06,993,House,2300.0,3,1, Immediately, No, No Minimum,,"Sundale Close, Tallaght, Dublin 24",11.83393263,53.2802185,-6.4074887,Dublin 24,https://www.daft.ie/for-rent/house-sundale-close-tallaght-dublin-24/5320229,2023-07-06,cea0cb7d879e63685208882ebb7346ae1f48886329dbbbad01512d1819e1bce5
774,216632669,2023-07-06,11259,Studio,1155.0,0,0, Immediately, Yes, Minimum 1 Year,BER Exempt,"Flat 4, 11 Leinster Road, Rathmines, Dublin 6",2.378054921,53.324075,-6.268162,Dublin 6,https://www.daft.ie/for-rent/studio-apartment-flat-4-11-leinster-road-rathmines-dublin-6/5304024,2023-07-06,311586782f497ed614f2336a41f6a885badecb08f44b9b9c16d0a77a70b27b26
775,216722531,2023-07-06,2198,Apartment,2588.0,2,2, Immediately, Yes, Minimum 1 Year,E1,"Ardoyne House, Pembroke Park, Dublin 4",2.76193123,53.327525,-6.23855556,Dublin 4,https://www.daft.ie/for-rent/apartment-ardoyne-house-pembroke-park-dublin-4/5312851,2023-07-06,d04100193cf3d2e26bc42367143090a04c9a5a6ad18de2c96c66342acceda1e2
776,24991416,2023-07-06,12739,Apartment,4000.0,2,2," Jul 7th, 2023", Yes, Minimum 1 Year,B1,"2 Bedroom Apartment, Cathedral Court, Unit 6 New Street South, Dublin 8",0.969880493,53.3373901,-6.272850321,Dublin 8,https://www.daft.ie/for-rent/apartment-2-bedroom-apartment-cathedral-court-unit-6-new-street-south-dublin-8/3248767,2023-07-06,182789ff81f46b9a49f9302c6b701928e4a6048f8a79ad2a85d616b7fc85efe0
777,216871228,2023-07-06,1249,Apartment,1400.0,1,1, Immediately, No, No Minimum,,"The Courthouse, Rathcoole, Co. Dublin",15.034158601147402,53.2817307,-6.466167,,https://www.daft.ie/for-rent/apartment-the-courthouse-rathcoole-co-dublin/5328635,2023-07-06,c9e0bd2308b4f182e98ff348dfd8020693e612ab42758a36a21b405cf0d0075e
